Team,Week,Opponent
ARI,1,WAS
ARI,2,NYG
ARI,3,DAL
ARI,4,SF
ARI,5,CIN
ARI,6,LAR
ARI,7,SEA
ARI,8,BAL
ARI,9,CLE
ARI,10,ATL
ARI,11,HOU
ARI,12,LAR
ARI,13,PIT
ARI,14,
ARI,15,SF
ARI,16,CHI
ARI,17,PHI
ATL,1,CAR
ATL,2,GB
ATL,3,DET
ATL,4,JAX
ATL,5,HOU
ATL,6,WAS
ATL,7,TB
ATL,8,TEN
ATL,9,MIN
ATL,10,ARI
ATL,11,
ATL,12,NO
ATL,13,NYJ
ATL,14,TB
ATL,15,CAR
ATL,16,IND
ATL,17,CHI
BAL,1,HOU
BAL,2,CIN
BAL,3,IND
BAL,4,CLE
BAL,5,PIT
BAL,6,TEN
BAL,7,DET
BAL,8,ARI
BAL,9,SEA
BAL,10,CLE
BAL,11,CIN
BAL,12,LAC
BAL,13,
BAL,14,LAR
BAL,15,JAX
BAL,16,SF
BAL,17,MIA
BUF,1,NYJ
BUF,2,LV
BUF,3,WAS
BUF,4,MIA
BUF,5,JAX
BUF,6,NYG
BUF,7,NE
BUF,8,TB
BUF,9,CIN
BUF,10,DEN
BUF,11,NYJ
BUF,12,PHI
BUF,13,
BUF,14,KC
BUF,15,DAL
BUF,16,LAC
BUF,17,NE
CAR,1,ATL
CAR,2,NO
CAR,3,SEA
CAR,4,MIN
CAR,5,DET
CAR,6,MIA
CAR,7,
CAR,8,HOU
CAR,9,IND
CAR,10,CHI
CAR,11,DAL
CAR,12,TEN
CAR,13,TB
CAR,14,NO
CAR,15,ATL
CAR,16,GB
CAR,17,JAX
CHI,1,GB
CHI,2,TB
CHI,3,KC
CHI,4,DEN
CHI,5,WAS
CHI,6,MIN
CHI,7,LV
CHI,8,LAC
CHI,9,NO
CHI,10,CAR
CHI,11,DET
CHI,12,MIN
CHI,13,
CHI,14,DET
CHI,15,CLE
CHI,16,ARI
CHI,17,ATL
CIN,1,CLE
CIN,2,BAL
CIN,3,LAR
CIN,4,TEN
CIN,5,ARI
CIN,6,SEA
CIN,7,
CIN,8,SF
CIN,9,BUF
CIN,10,HOU
CIN,11,BAL
CIN,12,PIT
CIN,13,JAX
CIN,14,IND
CIN,15,MIN
CIN,16,PIT
CIN,17,KC
CLE,1,CIN
CLE,2,PIT
CLE,3,TEN
CLE,4,BAL
CLE,5,
CLE,6,SF
CLE,7,IND
CLE,8,SEA
CLE,9,ARI
CLE,10,BAL
CLE,11,PIT
CLE,12,DEN
CLE,13,LAR
CLE,14,JAX
CLE,15,CHI
CLE,16,HOU
CLE,17,NYJ
DAL,1,NYG
DAL,2,NYJ
DAL,3,ARI
DAL,4,NE
DAL,5,SF
DAL,6,LAC
DAL,7,
DAL,8,LAR
DAL,9,PHI
DAL,10,NYG
DAL,11,CAR
DAL,12,WAS
DAL,13,SEA
DAL,14,PHI
DAL,15,BUF
DAL,16,MIA
DAL,17,DET
DEN,1,LV
DEN,2,WAS
DEN,3,MIA
DEN,4,CHI
DEN,5,NYJ
DEN,6,KC
DEN,7,GB
DEN,8,KC
DEN,9,
DEN,10,BUF
DEN,11,MIN
DEN,12,CLE
DEN,13,HOU
DEN,14,LAC
DEN,15,DET
DEN,16,NE
DEN,17,LAC
DET,1,KC
DET,2,SEA
DET,3,ATL
DET,4,GB
DET,5,CAR
DET,6,TB
DET,7,BAL
DET,8,LV
DET,9,
DET,10,LAC
DET,11,CHI
DET,12,GB
DET,13,NO
DET,14,CHI
DET,15,DEN
DET,16,MIN
DET,17,DAL
GB,1,CHI
GB,2,ATL
GB,3,NO
GB,4,DET
GB,5,LV
GB,6,
GB,7,DEN
GB,8,MIN
GB,9,LAR
GB,10,PIT
GB,11,LAC
GB,12,DET
GB,13,KC
GB,14,NYG
GB,15,TB
GB,16,CAR
GB,17,MIN
HOU,1,BAL
HOU,2,IND
HOU,3,JAX
HOU,4,PIT
HOU,5,ATL
HOU,6,NO
HOU,7,
HOU,8,CAR
HOU,9,TB
HOU,10,CIN
HOU,11,ARI
HOU,12,JAX
HOU,13,DEN
HOU,14,NYJ
HOU,15,TEN
HOU,16,CLE
HOU,17,TEN
IND,1,JAX
IND,2,HOU
IND,3,BAL
IND,4,LAR
IND,5,TEN
IND,6,JAX
IND,7,CLE
IND,8,NO
IND,9,CAR
IND,10,NE
IND,11,
IND,12,TB
IND,13,TEN
IND,14,CIN
IND,15,PIT
IND,16,ATL
IND,17,LV
JAX,1,IND
JAX,2,KC
JAX,3,HOU
JAX,4,ATL
JAX,5,BUF
JAX,6,IND
JAX,7,NO
JAX,8,PIT
JAX,9,
JAX,10,SF
JAX,11,TEN
JAX,12,HOU
JAX,13,CIN
JAX,14,CLE
JAX,15,BAL
JAX,16,TB
JAX,17,CAR
KC,1,DET
KC,2,JAX
KC,3,CHI
KC,4,NYJ
KC,5,MIN
KC,6,DEN
KC,7,LAC
KC,8,DEN
KC,9,MIA
KC,10,
KC,11,PHI
KC,12,LV
KC,13,GB
KC,14,BUF
KC,15,NE
KC,16,LV
KC,17,CIN
LAC,1,MIA
LAC,2,TEN
LAC,3,MIN
LAC,4,LV
LAC,5,
LAC,6,DAL
LAC,7,KC
LAC,8,CHI
LAC,9,NYJ
LAC,10,DET
LAC,11,GB
LAC,12,BAL
LAC,13,NE
LAC,14,DEN
LAC,15,LV
LAC,16,BUF
LAC,17,DEN
LAR,1,SEA
LAR,2,SF
LAR,3,CIN
LAR,4,IND
LAR,5,PHI
LAR,6,ARI
LAR,7,PIT
LAR,8,DAL
LAR,9,GB
LAR,10,
LAR,11,SEA
LAR,12,ARI
LAR,13,CLE
LAR,14,BAL
LAR,15,WAS
LAR,16,NO
LAR,17,NYG
LV,1,DEN
LV,2,BUF
LV,3,PIT
LV,4,LAC
LV,5,GB
LV,6,NE
LV,7,CHI
LV,8,DET
LV,9,NYG
LV,10,NYJ
LV,11,MIA
LV,12,KC
LV,13,
LV,14,MIN
LV,15,LAC
LV,16,KC
LV,17,IND
MIA,1,LAC
MIA,2,NE
MIA,3,DEN
MIA,4,BUF
MIA,5,NYG
MIA,6,CAR
MIA,7,PHI
MIA,8,NE
MIA,9,KC
MIA,10,
MIA,11,LV
MIA,12,NYJ
MIA,13,WAS
MIA,14,TEN
MIA,15,NYJ
MIA,16,DAL
MIA,17,BAL
MIN,1,TB
MIN,2,PHI
MIN,3,LAC
